SMILES,6Y9S_SP,4WHZ_SP,Weight,LogP,SA,QED,TPSA,HBA,HBD,RotBond,Filtered,3D_best_gsk3b,3D_sim_gsk3b,3D_best_jnk3,3D_sim_jnk3,3D_sim_2D_gsk3b,3D_sim_2D_jnk3
COc1ccccc1Nc1cc(-c2ccnc(Nc3ccccc3OC)c2)ccn1,-8.615628575,-10.74360004,398.466,5.648,2.157495711,0.419361902,68.3,6,2,7,TRUE,13910,0.620935961,CHEMBL437706,1,0.25,1
Cc1ccc(C(=O)Nc2cccc(C)c2N2CCC3(CC2)OCCO3)o1,-7.287778446,-7.029719247,356.422,3.49204,2.996826099,0.911961611,63.94,5,1,3,TRUE,50840603,0.611200795,CHEMBL1783591,1,0.141304348,1
CC(=O)Nc1ccc(-c2cnc3ccc4ccncc4c3c2)cc1,-7.780537673,-8.648362889,313.36,4.4084,2.053115441,0.557731024,54.88,3,1,2,TRUE,CHEMBL1938959,0.61927356,CHEMBL248833,1,0.125,1
CC(C)n1c(=O)ccc2cnc(NC3CCOCC3)nc21,-9.199946743,-8.534049637,288.351,1.9633,2.586267467,0.934733822,69.04,6,1,3,TRUE,CHEMBL255948,0.590079124,CHEMBL3577862,1,0.323076923,1
CC(C)c1onc(-c2ccc(F)cc2)c1-c1ccncc1,-7.046935629,-9.137662269,282.318,4.6661,2.217371313,0.70059489,38.92,3,0,3,TRUE,111099,0.559860181,CHEMBL220227,1,0.08974359,1
Cc1ccc2c(NS(=O)(=O)c3ccccc3Cl)cccc2c1Oc1ncccc1-c1ccnc(NC2CCC(N)CC2)n1,-5.463015145,-6.334617519,615.159,6.92852,2.896856769,0.171383268,132.12,8,3,8,TRUE,CHEMBL4758531,0.407266172,CHEMBL3356008,1,0.184,1
C=C(C)CN1CCN(c2c(Cl)cccc2NC(=O)c2ccc(Br)o2)CC1,-7.499401434,-6.81331855,438.753,4.6459,2.392861945,0.69065273,48.72,4,1,5,FALSE,51159564,0.579022307,CHEMBL1784087,1,0.127659574,1
Cc1nc(-c2sccc2NC(=O)Cc2cccc3ccccc23)n[nH]1,-7.53677584,-9.104498432,348.431,4.17602,2.398177053,0.581187539,70.67,4,2,4,TRUE,CHEMBL4796925,0.613380008,CHEMBL1287974,1,0.202380952,1
Cc1nnc(-c2sccc2NC(=O)Cc2cccc3ccccc23)[nH]1,-6.882677444,-9.122964099,348.431,4.17602,2.609190541,0.581187539,70.67,4,2,4,TRUE,CHEMBL3828609,0.567216191,50611582,1,0.231884058,1
S=c1[nH]nc(-c2ccncc2)n1-c1ccc2ccccc2c1,-7.255637158,-10.65056165,304.378,4.14509,2.196869393,0.565996224,46.5,4,1,2,TRUE,51243374,0.580345478,CHEMBL1644616,1,0.222222222,1
N#Cc1ccc(N2CCC(Nc3c(C(N)=O)cnc4[nH]ccc34)C(F)C2)nc1,-8.936867424,-8.851172972,379.399,1.95738,3.610339282,0.636548902,123.72,6,3,4,TRUE,CHEMBL3593777,1,CHEMBL3593777,1,1,1
O=C(Cc1cccc2ncccc12)Nc1ccsc1-c1nnc[nH]1,-7.578508901,-8.884841794,335.392,3.2626,2.726158481,0.599431704,83.56,5,2,4,TRUE,CHEMBL3828624,0.714876691,CHEMBL1288099,1,0.17721519,1
O=C(Cc1c(F)cccc1Cl)Nc1onc(-c2ccc(F)cc2)c1-c1ccncn1,-6.12942034,-8.87228406,426.81,4.9114,2.503013747,0.49002197,80.91,5,1,5,TRUE,13934,0.542648592,CHEMBL3310142,1,0.252747253,1
CCNC(=O)N1CCC(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)C1,-8.407126676,-8.017914559,384.871,3.494,2.959256843,0.642257957,85.94,4,3,4,TRUE,CHEMBL255948,0.644290657,CHEMBL246544,1,0.315789474,1
Cc1ncn(-c2ccc(Nc3cc(-c4nocc4-c4cc[nH]n4)ccn3)cc2)n1,-7.704054057,-9.360585614,384.403,3.75942,3.167684063,0.474534453,110.34,8,2,5,TRUE,CHEMBL402541,0.610649547,CHEMBL3099964,1,0.166666667,1
Oc1ccc(-c2cnc3ccc4ccncc4c3c2)cc1,-8.377946725,-8.389580015,272.307,4.1556,2.071769179,0.529231499,46.01,3,1,1,TRUE,CHEMBL1630460,0.704344555,CHEMBL248643,1,0.090909091,1
