SMILES,Title,IC50nM,5NTP_XP,6QU7_XP,Weight,LogP,SA,QED,TPSA,HBA,HBD,RotBond,Filtered,3D_best_rorgt,3D_sim_rorgt,3D_best_dhodh,3D_sim_dhodh,3D_sim_2D_rorgt,3D_sim_2D_dhodh
COc1cc(S(=O)(=O)N2CC(CCC(=O)O)Cc3ccc(NC(=O)OC(C)(C)C(F)(F)F)cc32)ccc1F,945945,5.75,-8.200067624,-5.417470249,562.538,4.9561,3.33087026,0.436496918,122.24,6,2,8,TRUE,945945,1,1020531,0.427696955,1,0.173553719
CC(C)(CC1CN(S(=O)(=O)c2ccc(F)c(F)c2)c2cc(NC(=O)OC(C)(C)C(F)(F)F)ccc2O1)NS(C)(=O)=O,945793,5.76,-5.385884878,-5.477831883,629.626,4.5284,3.638753617,0.410612008,131.11,7,2,8,TRUE,945793,1,1045600,0.391933262,1,0.160377358
CC(C)(OC(=O)Nc1ccc2c(c1)N(S(=O)(=O)c1c(Cl)nn3c1CCCC3)CC(CCC(=O)O)O2)C(F)(F)F,680637,5.76,-5.301400654,-6.547748491,594.996,4.5833,3.795532899,0.4745551,140.06,8,2,7,FALSE,680637,1,1045600,0.393910637,1,0.156521739
CN1CCN(CC2CN(S(=O)(=O)c3ccc(F)c(Cl)c3)c3cc(NC(=O)OC(C)(C)C(F)(F)F)ccc3O2)S1(=O)=O,945552,5.79,-7.631039627,-2.741974955,645.053,3.817,3.782239538,0.474237421,125.56,7,1,6,TRUE,945552,1,1020504,0.333517089,1,0.163934426
CC(NCC1CN(S(=O)(=O)c2cccc(C(F)(F)F)c2)c2cc(NC(=O)OC(C)(C)C)ccc2O1)C(F)(F)F,945824,5.79,-4.80442515,-6.756227666,583.551,5.5491,3.60760362,0.433334982,96.97,6,2,6,TRUE,945824,1,1001130,0.405711736,1,0.132075472
CN1CCN(CC2CN(S(=O)(=O)c3ccc(F)c(Cl)c3)c3cc(N(C(=O)[O-])C(C)(C)C(F)(F)F)ccc3O2)S1(=O)=O,701071,5.79,-6.150522883,-1.120249242,644.045,2.4182,4.150241714,0.442131972,130.6,7,0,6,FALSE,701071,1,297803,0.278962002,1,0.107142857
CC1(C)C2CCC1(c1cncc(-c3nc(C(O)C(F)F)co3)n1)c1nnc(-c3c(F)cccc3F)cc12,1036736,5.8,-4.640526682,-12.90729317,511.479,5.3686,5.363035918,0.359976548,97.82,7,1,5,TRUE,1036736,1,1020490,0.561085973,1,0.130081301
CCS(=O)(=O)C(C)c1coc(-c2cncc(C34CCC(c5cc(-c6c(F)cccc6F)nnc53)C4(C)C)n2)n1,1036796,5.8,-4.318951296,-11.90577338,551.619,5.5658,5.37189831,0.305968301,111.73,8,0,6,TRUE,1036796,1,50107530,0.556560234,1,0.148148148
Cn1cc(C2CCN(C(=O)CC3CC3)CC2)c2c(C(F)(F)F)c(NC(=O)c3cccc(C#N)c3)cnc21,753585,5.8,-14.80453551,-7.979939221,509.532,5.22218,2.944658931,0.510512941,91.02,5,1,5,TRUE,753585,1,51370197,0.486585601,1,0.13592233
CC(C(=O)N1CCC(c2cn(C)c3ncc(NC(=O)c4cccc(C#N)c4)c(C(F)(F)F)c23)CC1)C1CC1,753586,5.8,-15.30746421,-9.912861444,523.559,5.46818,3.480302335,0.480356887,91.02,5,1,5,TRUE,753586,1,50107530,0.517206006,1,0.157407407
CCOc1nn(CC)cc1S(=O)(=O)N1CC(CNC(C)=O)Oc2ccc(NC(=O)OC(C)(C)C(F)(F)F)cc21,644717,5.81,-6.386130174,-3.895160866,577.582,3.2835,3.637615089,0.462765349,141.09,9,2,9,TRUE,644717,1,1020563,0.560973563,1,0.185483871
CCOc1nn(CC)cc1S(=O)(=O)N1CC(CNS(=O)(=O)NC)Oc2ccc(NC(=O)OC(C)(C)C(F)(F)F)cc21,945579,5.82,-8.9271565,-5.723937185,628.652,2.2012,3.848803034,0.33763874,170.19,10,3,11,TRUE,945579,1,1045600,0.377473939,1,0.157894737
CCn1cc(S(=O)(=O)N2CC(CNS(=O)(=O)C3CC3)Oc3ccc(NC(=O)OC(C)(C)C(F)(F)F)cc32)c(OC(F)F)n1,645035,5.83,-8.135953207,-5.314380286,661.628,3.4319,3.931105837,0.344430519,158.16,10,2,11,TRUE,645035,1,1045597,0.338994617,1,0.145299145
CNS(=O)(=O)NCC1CN(S(=O)(=O)c2cn(C(F)F)nc2OCCO)c2cc(NC(=O)OC(C)(C)C(F)(F)F)ccc2O1,945845,5.84,-5.636806933,-1.97990483,666.604,1.5488,4.059741422,0.241954438,190.42,11,4,12,TRUE,945845,1,51370190,0.458301583,1,0.135135135
CCn1cc(S(=O)(=O)N2CC(CNC(=O)C(C)(C)O)Oc3ccc(NC(=O)OC(C)(C)C(F)(F)F)cc32)c(OC(F)F)n1,645001,5.84,-6.472020096,-6.685075262,643.588,3.2372,3.927091033,0.330336184,161.32,10,3,10,TRUE,645001,1,1020470,0.478353949,1,0.196721311
CC(C)(OC(=O)Nc1ccc2c(c1)N(S(=O)(=O)c1ccc(F)c(C(F)(F)F)c1)CC(C1CC1C(=O)O)O2)C(F)(F)F,680791,5.87,-8.290396741,-5.826437173,614.492,5.4109,4.093629612,0.417544904,122.24,6,2,6,FALSE,680791,1,1020520,0.519821521,1,0.159663866
COc1cc(S(=O)(=O)N2CC(C3CC3C(=O)O)Oc3ccc(NC(=O)OC(C)(C)C(F)(F)F)cc32)ccc1F,680801,5.87,-8.220799619,-7.674059571,576.521,4.4007,3.981199478,0.464059762,131.47,7,2,7,TRUE,680801,1,1020571,0.488300069,1,0.166666667
CC(C)(C)OC(=O)Nc1ccc2c(c1)N(S(=O)(=O)c1cccc(C(F)(F)F)c1)CC(CSc1ccccc1)O2,945591,5.88,-4.958142565,-4.34705626,580.65,6.801,3.131479924,0.322986454,84.94,6,1,6,TRUE,945591,1,297802,0.326166208,1,0.12962963
CCn1cc(S(=O)(=O)N2CC(CNC(C)=O)Oc3ccc(NC(=O)OC(C)(C)C)cc32)c(Cl)n1,644627,5.89,-6.22371905,-3.932064362,514.004,2.9958,3.381832993,0.606378751,131.86,8,2,6,FALSE,644627,1,1020392,0.585207157,1,0.189655172
CC1(C)C2CCC1(c1cccc(-c3cnn(CS(C)(=O)=O)c3)n1)c1nnc(-c3c(F)cccc3F)cc12,1036929,5.9,-3.836946196,-9.801585183,521.593,4.8857,4.889113644,0.371667254,90.63,7,0,5,TRUE,1036929,1,50107530,0.55949146,1,0.178217822
CCn1cc(S(=O)(=O)N2CC(CNS(=O)(=O)NC)Oc3ccc(NC(=O)OC(C)(C)C(F)(F)F)cc32)c(C)n1,945580,5.9,-8.342575561,-8.133567769,598.626,2.11092,3.726974894,0.395641761,160.96,9,3,9,TRUE,945580,1,1020665,0.570996979,1,0.161016949
CC1(C)C2CCC1(c1cncc(-c3ccn(CC(O)C(F)(F)F)n3)n1)c1nnc(-c3c(F)cccc3F)cc12,1036851,5.9,-5.09018034,-12.19025033,542.512,5.2018,5.233302121,0.348903786,89.61,7,1,5,TRUE,1036851,1,1100172,0.570479221,1,0.173076923
CC(O)(c1coc(-c2cncc(C34CCC(c5cc(-c6c(F)cccc6F)nnc53)C4(C)C)n2)n1)C(F)F,1036757,5.9,-5.191407265,-12.97497267,525.506,5.5427,5.402617692,0.341682378,97.82,7,1,5,TRUE,1036757,1,1020490,0.563454545,1,0.138211382
CCn1c2c(c3cc(NC(=O)CC(C)CC(=O)Nc4ccc(C#N)cc4)ccc31)CCCC2,51122298,5.9,-8.456222113,-11.1364305,442.563,5.40518,2.929447717,0.513160527,86.92,4,2,7,FALSE,51122298,1,51406355,0.597134729,1,0.12
Cn1cc(C2CCN(C(=O)C3CCCC3)CC2)c2cc(NS(=O)(=O)c3ccccc3F)ccc21,820636,5.9,-10.14928555,-4.937414626,483.609,5.0144,2.471095446,0.554302361,71.41,4,1,5,TRUE,820636,1,1045614,0.386567953,1,0.138613861
CC(=O)NC(C)C1CN(S(=O)(=O)c2ccc(F)c(F)c2)c2cc(NC(=O)OC(C)(C)C(F)(F)F)ccc2O1,644763,5.9,-6.73113838,-9.449652721,565.517,4.3351,3.705226478,0.504328771,114.04,6,2,6,TRUE,644763,1,1020571,0.503551697,1,0.172413793
Cc1c(S(=O)(=O)N2CC(CNS(=O)(=O)C3CC3)Oc3ccc(NC(=O)OC(C)(C)C)cc32)cnn1C(F)F,645014,5.94,-5.514273121,-2.94248099,577.632,2.97172,3.60316845,0.486512533,148.93,9,2,8,TRUE,645014,1,1001119,0.291649425,1,0.117117117
CC(C)(C)OC(=O)Nc1ccc2c(c1)N(S(=O)(=O)c1ccc(F)c(C(F)(F)F)c1)CC(c1n[nH]c(=O)o1)O2,945754,5.95,-6.894891066,-4.828336117,560.482,4.1968,3.517538067,0.452228783,143.83,8,2,4,TRUE,945754,1,51338192,0.511969264,1,0.12745098
CCn1cc(S(=O)(=O)N2CC(CC3(C(N)=O)CC3)Oc3ccc(N(C(=O)[O-])C(C)(C)C(F)(F)F)cc32)c(Cl)n1,945864,5.95,-5.663822434,-2.124739066,593.004,2.6589,4.298906436,0.494715853,150.89,8,1,8,FALSE,945864,1,50841919,0.434964371,1,0.148514851
Cc1ccc(S(=O)(=O)N2CC(CC3(C(N)=O)CC3)Oc3ccc(NC(=O)OC(C)(C)C(F)(F)F)cc32)cc1,709378,5.95,-8.43093723,-0.33559398,555.575,4.49632,3.472929083,0.518050298,128.03,6,2,7,TRUE,709378,1,297802,0.334021565,1,0.138888889
Cn1nc(CC2CN(S(=O)(=O)c3cccc(C(F)(F)F)c3)c3cc(NC(=O)OC(C)(C)C)ccc3O2)oc1=O,945757,5.97,-4.483049735,-7.877345689,570.546,3.9381,3.479694292,0.487951653,132.97,9,1,5,TRUE,945757,1,1098628,0.533233295,1,0.273584906
Cn1ccnc1CC1CN(S(=O)(=O)c2cccc(C(F)(F)F)c2)c2cc(NC(=O)OC(C)(C)C)ccc2O1,945809,5.97,-4.329474888,-7.833302459,552.575,4.9849,3.298481198,0.478867363,102.76,7,1,5,TRUE,945809,1,1098628,0.507195813,1,0.252336449
CC(C)(C)OC(=O)Nc1ccc2c(c1)N(S(=O)(=O)c1ccc(F)c(Cl)c1)CC(c1n[nH]c(=O)o1)O2,945753,5.98,-5.170324029,-3.235697975,526.93,3.8314,3.390577711,0.521618682,143.83,8,2,4,TRUE,945753,1,51126168,0.464289374,1,0.13
CC(=O)NCCC1CN(S(=O)(=O)c2ccc(F)cc2)c2cc(NC(=O)OCC(C)(C)C)ccc2O1,945774,5.99,-5.103710725,-9.189350163,507.584,3.9028,3.095676268,0.587600588,114.04,6,2,7,TRUE,945774,1,1020620,0.496656107,1,0.153153153
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(OC(C)(C)c3ccc(Cl)cc3Cl)c(F)c2)cc1,720133,5.99,-9.747981489,-11.77614656,524.441,6.4214,2.484387048,0.369192081,72.47,4,1,8,TRUE,720133,1,220006,0.482193065,1,0.163265306
CC1(C)C2CCC1(c1cccc(-c3cnc(NS(=O)(=O)C4CC4)nc3)n1)c1nnc(-c3c(F)cccc3F)cc12,1036996,6,-3.363585262,-12.27816267,560.63,5.3812,4.875032178,0.337053276,110.62,7,1,6,TRUE,1036996,1,51390144,0.547781129,1,0.152380952
