SMILES,Title,IC50nM,5NTP_XP,6QU7_XP,Weight,LogP,SA,QED,TPSA,HBA,HBD,RotBond,Filtered,3D_best_rorgt,3D_sim_rorgt,3D_best_dhodh,3D_sim_dhodh,3D_sim_2D_rorgt,3D_sim_2D_dhodh
CC(=O)C(C#N)C(=O)Nc1ccc(-c2cccc(Cl)c2)c(Cl)c1,52795,190,-9.747976823,-9.829152184,347.201,4.32768,2.626702185,0.83725581,69.96,3,1,4,TRUE,558886,0.575109383,52795,1,0.088888889,1
Cc1ccc(Nc2cnc(-c3cccc(C(N)=O)c3)c(C)c2)c(C(=O)O)c1,220001,190,-9.430434585,-7.687466433,361.401,3.90614,2.196914885,0.638904388,105.31,4,3,5,TRUE,51253481,0.542584178,220001,1,0.214285714,1
CCCC(C)Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1ncncc1C,1020389,190,-10.49430973,-12.44336647,454.506,3.42752,3.389666201,0.586650482,103.93,8,1,7,TRUE,826886,0.567260796,1020389,1,0.147540984,1
CCOc1cccc(-c2ccc(Nc3ccc(C)cc3C(=O)O)cn2)c1,219990,190,-8.427663183,-5.44919005,348.402,4.89752,2.006829074,0.662960422,71.45,4,2,6,TRUE,50388206,0.547932548,219990,1,0.136842105,1
CC(Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1ncncc1F)C1CCCCC1,1020520,190,-8.555653504,-8.856465473,498.534,4.0384,3.502408649,0.550268578,103.93,8,1,6,TRUE,651543,0.541076487,1020520,1,0.118181818,1
Cc1c(F)cccc1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCOC3)cc1OC(C)C(F)(F)F,1020588,190,-9.806851539,-13.38198524,498.408,3.73272,3.475919057,0.542123588,87.38,7,1,5,TRUE,795460,0.510948182,1020588,1,0.181818182,1
CC(O)=C(C#N)C(=O)Nc1ccc(-c2cccc(Cl)c2)c(Cl)c1,CHEMBL520008,190,-10.23913786,-13.24393143,347.201,4.95448,2.258669443,0.468457826,73.12,3,2,3,FALSE,766227,0.53811406,CHEMBL520008,1,0.103092784,1
CCC(=O)C(C#N)C(=O)Nc1ccc(-c2cccc(F)c2)c(C(=O)OC)c1,50707375,198,-8.036017911,-12.24427605,368.364,3.33668,2.775377474,0.62306594,96.26,5,1,6,TRUE,51253462,0.576236917,50707375,1,0.170454545,1
CCC(O)=C(C#N)C(=O)Nc1ccc(-c2cccc(F)c2)c(C(=O)OC)c1,CHEMBL1929440,198,-8.036017911,-12.24427605,368.364,3.96348,2.473411201,0.360075876,99.42,5,2,5,FALSE,51253462,0.576236917,50707375,1,0.170454545,1
O=C([O-])c1ccncc1Nc1ccc(-c2cccc(OC(F)(F)F)c2)cc1F.[Li+],CHEMBL2263635,199.99,-9.230685819,-9.993578125,398.241,0.8974,2.758121007,0.510829649,74.28,5,1,5,FALSE,667128,0.558685446,CHEMBL2263635,1,0.142857143,1
CCOc1cccc(-c2ccc(Nc3ncccc3C(=O)O)c(F)c2)c1,CHEMBL2263627,199.99,-9.409005482,-9.820991008,352.365,4.7282,2.017965872,0.671063532,71.45,4,2,6,TRUE,669181,0.553100499,CHEMBL2263627,1,0.1,1
COc1ccccc1-c1ccc(NC(=O)C(C#N)C(C)=O)c(Cl)c1,52789,200,-9.901738524,-11.54986988,342.782,3.68288,2.591931679,0.840411561,79.19,4,1,5,TRUE,766156,0.534921369,52789,1,0.111111111,1
CC(=O)C(C#N)C(=O)Nc1ccc(-c2cccc(Cl)c2Cl)cc1,52796,200,-9.145236062,-9.444232623,347.201,4.32768,2.607214272,0.83725581,69.96,3,1,4,TRUE,50082577,0.544603253,52796,1,0.120481928,1
[Li]OC(=O)c1ccncc1Nc1ccc(-c2cccc(OC(F)(F)F)c2)cc1F,246908,200,,,398.241,4.7702,2.784480306,0.495703661,60.45,5,1,5,FALSE,,,,,,
N#Cc1c(-c2ccc(-c3ccccc3OC(F)(F)F)cc2)nc2ccncc2c1O,50720827,200,-8.621165528,-10.61438357,407.351,5.43968,2.564546793,0.489266332,79.03,5,1,3,TRUE,50388258,0.589289666,50720827,1,0.11827957,1
Cc1ncc(NC(=O)c2cc(F)c(-n3nc4n(c3=O)CCCC4)cc2OC(C)C2CCCCC2)c(C)n1,1020516,200,-7.342432798,-11.29990619,508.598,4.51614,3.52593518,0.52525251,103.93,8,1,6,TRUE,645021,0.569151305,1020516,1,0.156521739,1
COc1nccc(C)c1NC(=O)c1cc(Cl)c(-n2nc3n(c2=O)CCCC3)cc1OC(C)C(F)(F)F,1020693,200,-9.004063929,-12.35032544,525.915,4.31762,3.527356684,0.51437537,100.27,8,1,6,TRUE,351240,0.584357006,1020693,1,0.139130435,1
